Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Power,P_Biomass,ResidualCapacity,SocietalCommitment_globalLimit,1.758,1.654,0.69,0.536,0.389,0.373,0.353,0.333
AT,Power,P_Biomass,TotalCapacity,SocietalCommitment_globalLimit,1.758,1.654,0.69,0.536,0.389,0.373,0.353,0.333
AT,Power,P_Coal_Hardcoal,ResidualCapacity,SocietalCommitment_globalLimit,0.8144648,0.0664648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648
AT,Power,P_Coal_Hardcoal,TotalCapacity,SocietalCommitment_globalLimit,0.8144648,0.0664648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648
AT,Power,P_Gas,ResidualCapacity,SocietalCommitment_globalLimit,5.119113,4.221271435,4.14727954,4.031446071,3.530089176,3.032959618,1.86768084,0.014918853
AT,Power,P_Gas,TotalCapacity,SocietalCommitment_globalLimit,5.119113,4.221271435,4.14727954,4.031446071,3.530089176,3.032959618,1.86768084,0.014918853
AT,Power,P_Oil,ResidualCapacity,SocietalCommitment_globalLimit,1.187576,0.710196206,0.213552953,0.105470817,0.001989494,0.001145569,,
AT,Power,P_Oil,TotalCapacity,SocietalCommitment_globalLimit,1.187576,0.710196206,0.213552953,0.105470817,0.001989494,0.001145569,,
AT,Power,RES_Hydro_Large,ResidualCapacity,SocietalCommitment_globalLimit,7.846,7.846,7.846,7.846,7.846,7.846,7.846,7.846
AT,Power,RES_Hydro_Large,TotalCapacity,SocietalCommitment_globalLimit,7.846,7.846,7.846,7.846,7.846,7.846,7.846,7.846
AT,Power,RES_Hydro_Small,ResidualCapacity,SocietalCommitment_globalLimit,6.014,6.014,6.014,6.014,6.014,6.014,6.014,6.014
AT,Power,RES_Hydro_Small,TotalCapacity,SocietalCommitment_globalLimit,6.014,6.014,6.014,6.014,6.014,6.014,6.014,6.014
AT,Power,RES_PV_Rooftop_Commercial,NewCapacity,SocietalCommitment_globalLimit,,,,,2.081032397,11.42371378,,
AT,Power,RES_PV_Rooftop_Commercial,TotalCapacity,SocietalCommitment_globalLimit,,,,,2.081032397,13.50474618,13.50474618,13.50474618
AT,Power,RES_PV_Rooftop_Residential,NewCapacity,SocietalCommitment_globalLimit,,,,,,14.5491497,,
AT,Power,RES_PV_Rooftop_Residential,TotalCapacity,SocietalCommitment_globalLimit,,,,,,14.5491497,14.5491497,14.5491497
AT,Power,RES_PV_Utility_Avg,NewCapacity,SocietalCommitment_globalLimit,,,,,0.081472528,0.585489735,,0.282559748
AT,Power,RES_PV_Utility_Avg,ResidualCapacity,SocietalCommitment_globalLimit,0.980174682,0.963247132,0.929623918,0.923131159,0.703188957,,,
AT,Power,RES_PV_Utility_Avg,TotalCapacity,SocietalCommitment_globalLimit,0.980174682,0.963247132,0.929623918,0.923131159,0.784661485,0.666962262,0.666962262,0.949522011
AT,Power,RES_PV_Utility_Opt,NewCapacity,SocietalCommitment_globalLimit,,,5.838061275,3.011633075,4.192085077,,,5.838061275
AT,Power,RES_PV_Utility_Opt,TotalCapacity,SocietalCommitment_globalLimit,,,5.838061275,8.84969435,13.04177943,13.04177943,13.04177943,13.04177943
